start	end	text
1644900	1645660	Me boté a un compañero.
1645960	1646380	Cinco veces.
1647460	1648000	Pero a un amigo,
1648180	1648680	a Fernando,
1648840	1649740	a un amigo de confianza,
1649860	1650760	de repente nos molestamos.
1650760	1651640	¿Qué nos vamos a buscar?
1653980	1656340	Ticho lo pasaba un terrible bien.
1657960	1658980	Sí, la mayoría de las cosas
1658980	1659940	que hacemos es molestarnos
1659940	1660360	de repente.
1661040	1662000	Tenemos una confesa más
1662000	1664020	a contacto físico.
1664440	1666320	En el sentido de...
1666320	1667000	No hay tanto abrazo,
1667060	1667300	pero sí.
1668680	1669700	Bueno, mi punto es.
1670160	1671120	El piso está resbaladizo
1671120	1672220	y eso es muy bueno para mí.
1673300	1673980	A veces me pongo a hacer...
1675100	1675560	Como va a hacerlo
1675560	1676620	de allá en Canadá,
1676700	1678100	donde en el hielo
1678100	1678700	patinan.
1679000	1679280	¿Ya?
1679680	1680500	A veces patino,
1680500	1681120	no sé por qué.
1682800	1683500	Parece algo como...
1685500	1686100	¿Sí?
1687080	1687320	¿Sí?
1688860	1689880	Como una barrida.
1690420	1690640	Barriga.
1692720	1693860	Lo podría hacer acá.
1693860	1707180	A veces,
1707480	1707680	o sea,
1707740	1708140	de repente,
1708380	1710340	por lo general,
1710620	1711960	no lo hago muy frecuentemente.
1713300	1713840	Aparte que lo hacemos
1713840	1714320	en un área
1714320	1715300	y que el profe
1715300	1716060	está en un área
1716060	1716780	medio libre
1716780	1718160	porque a veces
1718160	1718940	ya tenemos
1718940	1720020	toda la actividad hecha
1720020	1721880	o los compañeros
1721880	1722620	están haciendo otras cosas.
1722620	1724220	Así que no es
1724220	1724980	con un tiempo libre.
1726420	1727620	Y ahí...
1727620	1729620	Salen bien.
1744020	1744540	Depende
1744540	1746320	lo que quieran vender.
1752620	1757620	A ver...
1758160	1758620	A ver...
1760140	1760420	¿Cómo?
1769620	1770220	Sí, no.
1771160	1772100	Es que depende...
1772100	1772500	¿Qué sea?
1772900	1773720	Si es de fútbol,
1773900	1774600	estoy más que agradecido.
1774680	1775620	De cosas físicas...
1775620	1776660	Estaría bueno
1776660	1777020	que me metiera
1777020	1777500	en una materia
1777500	1778780	que tenga que ver con...
1778780	1779960	Creo que sería historia
1779960	1780660	a media.
1782000	1782860	O que tenga que ver
1782860	1783940	con...
1783940	1785420	Con defensa,
1785540	1786840	algo así como más...
1786840	1787740	A contacto físico
1787740	1788620	de defender...
1788620	1789420	Defender...
1789420	1791080	Porque siento
1791080	1791880	que están muy malas
1791880	1792320	las cosas
1792320	1792820	y que...
1792820	1793760	Hay que aprender algo.
1798520	1798920	Sí.
1801140	1801820	Mi hermano
1801820	1802720	una vez le robaron...
1802720	1803460	Bueno...
1803460	1804020	El que le robó
1804020	1804780	era súper amable.
1804900	1805940	Nos contó.
1807520	1807880	Después
1807880	1809620	lo que pasó con...
1810620	1811440	Que parió
1811440	1812260	la noticia.
1812660	1813560	Mi papá ve noticias.
1813760	1814260	Yo lo apoyo.
1815700	1816340	Y...
1816340	1816880	De repente
1816880	1817620	vemos...
1818620	1819920	O dicen
1819920	1821280	que hay un portonazo,
1821440	1822760	mataron a un niño,
1823120	1823500	una guagua
1823500	1825200	se le atropellar...
1825200	1825980	Esas tres.
1828860	1829140	Sí.
1829540	1829720	O sea,
1829800	1830440	no es otro.
1830720	1831260	Me preocupo
1831260	1831880	en cómo le está
1831880	1832440	a la situación
1832440	1833040	en el país.
1835160	1835600	Y después
1835600	1836500	que los dejen libres
1836500	1837560	al segundo día,
1837760	1838720	a la hora.
1846940	1847380	Sí.
1847380	1854800	La pregunta es
1854800	1855140	¿de qué?
1855420	1855940	Pero...
1855940	1856460	Es que yo me llevo
1856460	1857260	muy bien con todos.
1857360	1857860	No soy de algo
1857860	1858600	conflictivo.
1860480	1860840	Ok.
1861380	1861860	Yo me llevo
1861860	1862560	bastante bien
1862560	1862980	con todos.
1863100	1863420	Soy bastante
1863420	1864100	sociable.
1864460	1864940	Conozco
1864940	1865640	medio mundo.
1865640	1868320	Tengo una vez
1868320	1869400	porque estaba...
1869400	1869820	Fui a la playa
1869820	1870560	con mi hermano.
1872300	1872660	Fuimos.
1872980	1873400	Había un niño
1873400	1874000	haciendo castillo.
1874080	1874440	Le pregunté
1874440	1874840	¿te ayudo?
1876200	1876500	Dale.
1876760	1877220	Y ahí hicimos
1877220	1877980	una base.
1878480	1878880	Al minuto
1878880	1879300	se destruyó
1879300	1879800	por una ola.
1882440	1883420	Yo me acuerdo
1883420	1883960	que creo
1883960	1884280	que estábamos
1884280	1885120	atrás de las tincheras,
1885120	1885260	¿sí?
1886720	1886960	Bueno,
1887020	1887240	no sé,
1887300	1888540	para Normandía.
1889520	1891020	El día de...
1891020	1891360	Venga.
1891360	1891460	Venga.
1895640	1897640	No.
1915500	1915760	O sea,
1915820	1916380	ahí me da más
1916380	1916900	clases de educación
1916900	1917880	física básica,
1917880	1918340	pero hasta ahí.
1918340	1919040	Ya me quedó clara.
1922680	1923120	Sí.
1923500	1924140	Sería muy bueno.
1924900	1925580	¿Qué es el fin?
1925640	1926300	El físico niño
1926300	1926720	prekíndese
1926720	1927340	sería más o menos
1927340	1929260	físico-culturista.
1930860	1931860	Pero...
1931860	1935440	A mí no me gusta
1935440	1935900	el lenguaje
1935900	1936600	y no me quejo.
1938300	1938700	Mire,
1938800	1939800	¿sabes qué
1939800	1940340	estaría bueno?
1941460	1942300	Que como
1942300	1943220	la tercera hora,
1943680	1944200	segunda hora,
1944260	1944780	donde los chicos
1944780	1945620	están más activos,
1945920	1946800	no están cansados,
1946900	1948020	no vienen de flujer.
1949320	1949680	Tipo,
1949680	1950680	día jueves
1950680	1952400	y día miércoles
1952400	1953400	los vienen no.
1953400	1955980	De esos dos días
1955980	1956520	deberían haber
1956520	1957420	educación física.
1959240	1959500	Claro,
1959640	1960700	así como para nuestro curso
1960700	1961800	o para otros cursos
1961800	1962740	que sea día Marte,
1962820	1963140	algo así.
1963280	1964080	Que vayas intercambiando,
1964160	1964980	que vayas intercambiando.
1967940	1968280	O sea,
1968380	1969020	así como para
1969020	1970300	estar activo,
1970400	1971700	para tener buen
1971700	1972660	cardio y cualquier cosa.
1972660	1974120	es súper bueno.
1980120	1982880	Lo único que tenés que hacer
1982880	1984860	es hacer lo que tenés que hacer
1984860	1986120	y estar...
1986120	1997240	Dice,
1997460	1998340	nunca tu papá
2002660	2005980	no tengo nada.
2008060	2008260	Sí,
2008340	2008700	bastante.
2009900	2010640	No he tenido bastante.
2011340	2011780	Octavo,
2011900	2012820	también me está yendo bien.
2012840	2014220	¿Cuáles son las notaciones positivas?
2014220	2015640	Me han llevado notaciones positivas
2015640	2016040	por...
2016040	2016260	De hecho,
2016440	2017500	creo que este año
2017500	2019120	me pusieron notaciones positivas
2019120	2019780	por barrer acá
2019780	2021000	con el Fernando,
2021520	2021860	la Marina,
2022100	2022380	la Ignacia.
2023040	2023560	Los cuatro
2023560	2024440	y el Bastián,
2024620	2025420	uno de primero a medio.
2025900	2026820	Estábamos los cuatro acá
2026820	2027380	barriendo.
2027840	2028540	Nos quedó limpio,
2028760	2029100	lindo.
2029360	2030360	¿Y eso fue por decisión?
2030360	2031000	Segundo día,
2031100	2031820	sopló el mundo
2031820	2033100	y quedaron cualquier hoja.
2034260	2034420	Sí,
2034460	2035400	fue de decisión propia,
2035540	2035800	no sé,
2035940	2036640	nos pusimos a barrer.
2038760	2040220	Está medio sucio.
2040360	2040640	¿Barremos?
2040860	2040980	Ya.
2043220	2044100	Estuvimos media hora.
2045100	2045960	Nos tomamos dos días.
2052760	2053160	Sí,
2053360	2053900	de repente,
2054340	2055480	a mí no sé
2055480	2055980	qué ocurre,
2056060	2056560	no hay idea,
2056840	2057700	y por lo general
2057700	2058400	no sale bien.
2058820	2059480	Por lo general,
2059600	2060000	no siempre.
2060360	2066220	es un duro.
2072280	2073380	¿O líder entero?
2073580	2073760	No,
2073840	2074660	líder entero no.
2075260	2076720	Soy mejor siguiendo orden.
2077200	2077540	Ya.
2078460	2079280	Y lo cumplo bien.
2082340	2083120	De repente,
2083240	2084000	me sale un liderazgo.
2084000	2084600	Sí.
2084600	2084820	Sí.
2084820	2104740	Este es uno,
2104740	2105480	dos,
2105480	2105860	tres,
2106000	2106220	claro.
2107220	2107880	Está el profe,
2107980	2108660	sería el primero,
2108880	2109680	acá está la puerta.
2109680	2112720	ahí está la manecilla,
2113060	2113980	hacer la ventana.
2114200	2114280	Ok.
2115960	2116340	Después,
2118080	2119280	como 40
2119280	2120440	o 38,
2120780	2121080	por ahí.
2121480	2122440	Si fueran unos compañeros,
2122940	2123620	39.
2126000	2127040	Solo uno espacio,
2127140	2127760	nomás está solo,
2127880	2128340	ya está ahí.
2128340	2128500	Ya.
2129500	2129920	Está llena.
2130120	2131200	Aquí es Martín
2131200	2132160	y el Cristóbal.
2133140	2133540	Ajá.
2134340	2135640	Esta sería la segunda fila.
2137260	2137580	Aquí.
2139780	2140420	Tres filas.
2140540	2140640	Sí.
2142260	2142780	Tres filas.
2142780	2143080	Ajá.
2144180	2145020	Acá está la pared.
2145820	2146160	Ya.
2146560	2147800	Aquí está el otro curso.
2148360	2149040	¿Dónde está la ventana?
2149940	2150180	Sí,
2150240	2151160	aquí están las ventanitas,
2151300	2151480	tal.
2151880	2152260	Ajá.
2152260	2157560	Después,
2158020	2158760	aquí estaba
2158760	2160060	el Mati,
2160140	2160720	la Versa B.
2160900	2161140	Ya.
2162840	2163720	Está el
2163720	2164980	Diago,
2165500	2166140	el Vico,
2166800	2170200	el Borque y el Diego,
2170520	2171540	el Diego y el Borque.
2172800	2173560	Aquí estaban.
2175300	2175860	Aquí no me acuerdo
2175860	2176380	quién estaban.
2176380	2182680	Ya me acuerdo.
2183600	2184040	Diego,
2184620	2187380	el Nico estaba acá atrás
2187380	2189000	con el Martín Leiva.
2191100	2191540	No me acuerdo
2191540	2192220	quién estaba acá.
2193600	2193740	Ya,
2193800	2194400	pero no importa.
2194820	2195040	Bueno,
2195120	2195540	acá hay dos puestas.
2195540	2196620	Con lo menos nos puesta.
2197020	2197380	Son
2197380	2198340	tres,
2198500	2198660	seis.
2198960	2199060	No,
2199100	2199260	siete.
2199380	2199560	Bien.
2199980	2200580	Siete puestas.
2200940	2201720	Siete puestas.
2202020	2202860	Acá hay dos.
2204400	2204620	No.
2205120	2205420	Ocho.
2205420	2206240	Cotando al perro.
2206240	2206520	Ocho.
2206720	2207320	Ocho.
2207320	2207680	Ocho.
2207680	2207920	Ocho.
2207920	2208260	Ocho.
2208260	2208700	Ocho.
2208700	2208920	Ocho.
2212920	2213880	Tienen como las colores.
2231820	2232820	Me estoy confundiendo.
2232820	2234740	Tres,
2235080	2235440	cuatro.
2237040	2237440	Seis,
2237440	2237940	siete,
2238140	2238480	ocho.
2241840	2242020	Sí.
2242980	2243240	Ya.
2244100	2244720	La cuatro,
2245200	2245760	la cinco,
2247020	2247660	seis.
2249560	2249760	Ahí está.
2250060	2251040	¿Y tú dónde estás?
2251520	2252280	Se supone que estoy acá.
2253020	2253260	Ya.
2253580	2254060	Ahí estoy yo.
2254220	2254760	Aquí está el Diego,
2255140	2255580	Fernando,
2256320	2256520	Nico,
2256600	2256760	nadie,
2256760	2257100	y el López.
2257100	2257980	Todos ellos son todos amigos.
2259820	2260000	O sea,
2260060	2260180	sí,
2260280	2260880	el Fernando,
2261060	2261760	el Diego y,
2262080	2262200	bueno,
2262300	2263400	la mediría en todo el curso,
2263500	2263820	más o menos.
2265120	2265960	No me relaciono,
2266340	2266920	no muy,
2267060	2268020	en el sentido de muy bien,
2268080	2269060	así como que me llevo mal,
2269180	2269380	pero.
2283780	2285060	¿Cuáles eran estos dos stickers?
2285060	2285100	¿Cuáles eran estos dos stickers?
2287100	2289100	Sí.
2293820	2294820	Me lo robaron.
2299000	2299660	No me aburro.
2304040	2304800	¿Cómo lo sé?
2305340	2305640	Sí,
2305900	2306260	no sé.
2306680	2307160	¿Cuál fue?
2307160	2307280	¿Cuál fue?
2307280	2307360	¿Cuál fue?
2307360	2307440	¿Cuál fue?
2307440	2307480	¿Cuál fue?
2307480	2307540	¿Cuál fue?
2307540	2307560	¿Cuál fue?
2307560	2307780	¿Cuál fue?
2318000	2318380	¿Cuál fue?
2323260	2323360	¿Cuál fue?
2323360	2324180	¿Cuál fue?
2324240	2325440	¿Cuál fue?
2325440	2325680	¿Cuál fue?
2333840	2334840	¿Cuál fue?
2334840	2337140	No sé, por ponerle
2337140	2338660	Me aburro, es el problema
2338660	2355480	Me aburro, y no sé qué emoción significa aburrirse
2359480	2361320	Me aburro
2364840	2374140	Me aburro
2374140	2374600	Me aburro
2374600	2375340	Me aburro
2375340	2386120	Vamos, vamos, vamos
2386120	2387220	Postemos
2394840	2424820	No, no, no, no, no, no, no, no.
2424840	2454820	No, no, no.
